,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Time,Mode ,Motor 1,Motor 2,Motor 3,Motor 4,P,P1,P2,SP,SQ,SR,SAX,SAY,SAZ,PHI,THETA,PSI
103897509,5,257,250,253,262,108,45,116,-24,-22,3,-145,-243,7053,-231,-122,126
103998006,5,258,249,253,262,108,45,116,-28,9,6,-111,-217,7071,-239,-121,131
104098539,5,258,248,254,263,108,45,116,-40,-10,-6,-213,-307,6947,-270,-121,132
104199009,5,261,246,252,263,108,45,116,-35,44,-18,-145,-379,7013,-302,-125,118
104299477,5,259,247,251,265,108,45,116,-44,3,3,-165,-369,7095,-330,-159,118
104400000,5,259,247,253,263,108,45,116,-13,1,-6,-107,-391,7159,-352,-159,113
104500492,5,259,247,253,263,108,45,116,0,-13,-12,-219,-355,6985,-361,-164,113
104601012,5,259,248,251,263,108,45,116,0,3,3,-245,-417,7059,-356,-165,113
104701480,5,259,247,253,262,108,45,116,7,-15,-7,-263,-403,6983,-356,-154,110
104801976,5,258,247,253,264,108,45,116,-9,6,-8,-203,-409,6949,-356,-129,111
104902458,5,257,246,253,266,108,45,116,-43,-4,6,-179,-443,7031,-370,-119,116
105003005,5,260,246,251,265,108,45,116,-30,30,-3,-135,-471,7015,-402,-138,120
105103495,5,259,243,252,268,108,45,116,-69,10,7,-117,-527,7119,-456,-171,115
105203956,5,266,239,242,274,108,45,116,-115,134,26,-441,-699,7003,-552,-258,128
105304636,5,268,230,243,281,108,45,116,-203,105,4,-677,-947,6857,-727,-381,143
105404958,5,273,217,240,292,108,45,116,-292,78,-13,-817,-1443,6961,-1015,-488,132
105505484,5,266,204,252,300,108,45,116,-371,-32,-70,-729,-1949,7037,-1379,-463,98
105606247,5,253,200,260,310,108,45,116,-337,-221,-18,-333,-2617,7031,-1761,-334,79
105706455,5,249,200,264,326,108,45,116,-479,-190,-20,11,-3315,7137,-2212,-119,87
105806957,5,253,200,258,327,108,45,116,-286,-60,-1,-13,-3871,6729,-2651,-30,94
105907495,5,253,200,256,344,108,45,116,-509,-39,33,-41,-4323,6325,-3024,8,103
106007988,5,259,200,244,358,108,45,116,-401,124,76,-55,-5297,6399,-3590,-38,145
106108460,5,253,200,254,371,108,45,116,-495,-62,18,-215,-5999,6039,-4110,-90,198
106209112,5,252,200,252,377,108,45,116,-448,-28,63,113,-6613,6071,-4526,-78,256
106309605,5,253,200,257,375,108,45,116,-289,-66,10,-65,-6979,5559,-4938,-55,295
106410123,5,254,200,254,391,108,45,116,-324,5,25,-7,-7927,5651,-5364,-39,341
106510614,5,256,200,250,390,108,45,116,-243,21,51,-123,-7911,5139,-5633,-87,354
106611143,5,257,200,257,393,108,45,116,-232,-53,-32,-87,-8389,5021,-5940,-108,373
106711629,5,257,200,253,397,108,45,116,-200,-6,13,-9,-8649,4791,-6194,-90,376
106812146,5,259,200,254,389,108,45,116,-20,1,-17,-35,-8845,4855,-6306,-95,362
106913036,5,257,200,255,397,108,45,116,-65,-5,-7,-141,-9145,4973,-6439,-81,370
107013463,5,258,200,255,393,108,45,116,-32,-9,-18,-85,-8981,4761,-6461,-89,369
107113588,5,258,200,252,393,108,45,116,17,10,7,-89,-8935,4695,-6473,-92,363
107214086,5,258,200,252,394,108,45,116,-21,8,3,-177,-8843,4599,-6471,-91,360
107315034,5,258,200,252,391,108,45,116,35,27,22,-115,-8733,4609,-6465,-90,358
107415482,5,257,200,253,392,108,45,116,12,2,6,7,-8909,4827,-6457,-99,357
107515609,5,258,200,252,385,108,45,116,124,25,9,-33,-8835,4999,-6392,-113,360
