,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Time,Mode ,Motor 1,Motor 2,Motor 3,Motor 4,P,P1,P2,SP,SQ,SR,SAX,SAY,SAZ,PHI,THETA,PSI
32446520,3,0,0,0,0,0,0,0,0,0,-1,8,-335,7068,-1,1,0
32546720,3,0,0,0,0,0,0,0,-1,0,0,20,-342,7061,-1,1,0
32647250,3,0,0,0,0,0,0,0,0,0,0,-16,-355,7103,0,2,0
32747743,3,0,0,0,0,0,0,0,-1,-1,0,-9,-352,7078,-1,1,0
32848240,3,0,0,0,0,0,0,0,-1,-1,0,-2,-346,7074,-1,1,0
32949106,3,0,0,0,0,0,0,0,0,0,0,2,-329,7053,-1,1,-1
33049191,3,0,0,0,0,0,0,0,-1,-2,0,2,-339,7082,-1,1,0
33149731,3,0,0,0,0,0,0,0,-1,-1,0,3,-322,7093,-1,1,0
33250219,3,0,0,0,0,0,0,0,0,0,0,10,-333,7069,-1,1,0
33350690,3,0,0,0,0,0,0,0,-1,-2,1,30,-336,7083,0,1,0
33451919,3,0,0,0,0,0,0,0,-1,-2,0,9,-373,7030,0,1,0
33551940,3,0,0,0,0,0,0,0,-1,-1,0,-27,-337,7112,0,2,0
33652170,3,0,0,0,0,0,0,0,0,0,-1,-17,-339,7077,0,2,0
33752638,3,0,0,0,0,0,0,0,0,0,-1,8,-346,7079,-1,1,0
33853155,3,0,0,0,0,0,0,0,-1,-1,0,4,-323,7113,-1,1,0
33953980,3,0,0,0,0,0,0,0,-1,-1,0,-7,-347,7085,-1,1,0
34054129,3,0,0,0,0,0,0,0,-1,-2,0,14,-336,7072,-2,1,-1
34154634,3,0,0,0,0,0,0,0,-1,0,0,-22,-323,7062,-1,1,-1
34255129,3,0,0,0,0,0,0,0,-1,-1,0,0,-361,7080,-2,1,-1
34356021,3,0,0,0,0,0,0,0,-1,-1,1,-19,-348,7044,-2,1,-1
34456113,3,0,0,0,0,0,0,0,-1,-1,0,-16,-355,7041,-2,1,-1
34556630,3,0,0,0,0,0,0,0,-1,-1,0,-9,-352,7074,-1,2,0
34657126,3,0,0,0,0,0,0,0,0,0,-1,-6,-334,7063,-1,2,0
34757623,3,0,0,0,0,0,0,0,-1,-1,0,-10,-340,7056,-1,1,0
34858509,3,0,0,0,0,0,0,0,0,1,0,5,-350,7069,-1,2,0
34958603,3,0,0,0,0,0,0,0,-1,-1,0,11,-335,7051,-1,1,0
35059127,3,0,0,0,0,0,0,0,-1,-1,0,-2,-314,7070,-2,1,0
35159616,3,0,0,0,0,0,0,0,-1,0,-1,8,-328,7064,-2,1,0
35260663,3,0,0,0,0,0,0,0,0,0,0,6,-324,7069,-2,1,0
35360668,3,0,0,0,0,0,0,0,-1,-1,0,11,-317,7067,-2,1,0
35461152,3,0,0,0,0,0,0,0,0,0,0,9,-336,7072,-2,1,0
35561619,3,0,0,0,0,0,0,0,-1,-1,0,-11,-335,7069,-2,1,0
35662791,3,0,0,0,0,0,0,0,0,0,0,-17,-337,7044,-2,1,0
35762814,3,0,0,0,0,0,0,0,-1,0,0,-4,-314,7064,-2,2,-1
35863124,3,0,0,0,0,0,0,0,-1,-1,0,-19,-344,7090,-1,1,-1
35963584,3,0,0,0,0,0,0,0,-1,-1,0,-6,-323,7092,-2,1,-1
36064073,3,0,0,0,0,0,0,0,-1,-1,0,11,-344,7073,-1,1,-1
36164626,3,0,0,0,0,0,0,0,-1,-1,0,2,-343,7074,-2,1,0
36265701,3,0,0,0,0,0,0,0,0,0,-1,3,-346,7044,-2,1,-1
36365719,3,0,0,0,0,0,0,0,0,0,0,3,-340,7078,-2,1,0
36466103,3,0,0,0,0,0,0,0,-1,-1,0,16,-323,7075,-2,1,0
36566589,3,0,0,0,0,0,0,0,0,0,0,-18,-407,7134,-1,1,0
36667142,5,0,0,0,0,108,45,116,-1,-1,0,-9,-312,7109,-1,1,0
36768191,5,0,0,0,0,108,45,116,-1,-1,0,-19,-354,7093,-1,1,0
36868201,5,0,0,0,0,108,45,116,-1,-1,-1,3,-344,7081,-2,0,0
36968641,5,0,0,0,0,108,45,116,0,0,0,15,-344,7049,-2,1,0
37069143,5,0,0,0,0,108,45,116,0,0,-1,-5,-354,7085,-2,1,0
37170155,5,0,0,0,0,108,45,116,-1,-1,0,1,-340,7065,-2,1,0
37270164,5,0,0,0,0,108,45,116,-1,-1,0,-17,-348,7079,-2,0,0
37370635,5,0,0,0,0,108,45,116,0,0,0,-27,-346,7045,-2,0,1
37471141,5,0,0,0,0,108,45,116,0,0,0,1,-348,7071,-2,0,1
37571619,5,255,255,256,256,108,45,116,-1,-1,0,-31,-328,7071,-2,0,1
37672117,5,255,255,255,255,108,45,116,-1,-1,0,-3,-342,7099,-1,0,1
37772653,5,255,255,256,256,108,45,116,-1,-2,0,-13,-350,7071,-2,0,1
37873272,5,255,255,256,256,108,45,116,-1,-1,0,29,-356,7103,-1,0,1
37973749,5,255,255,256,256,108,45,116,0,0,0,39,-350,7057,-1,1,1
38074111,5,255,255,255,255,108,45,116,-1,-1,0,15,-346,7067,-1,1,1
38174633,5,255,255,256,256,108,45,116,-1,-1,0,-1,-302,7053,-2,1,2
38275117,5,255,255,256,256,108,45,116,-1,-1,0,-7,-344,7093,-2,1,2
