using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
timeout detected, sending mode as 1
Time |892982|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-3|SR |-17|SAX |626|SPY |-394|SAZ |14414|PHI |154|THETA |-15|PSI |-1|Battery | 595|
Time |993000|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-3|SR |-17|SAX |592|SPY |-452|SAZ |14378|PHI |40|THETA |39|PSI |-36|Battery | 581|
Time |1093008|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |590|SPY |-426|SAZ |14402|PHI |-12|THETA |63|PSI |-54|Battery | 581|
Time |1193014|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |546|SPY |-408|SAZ |14384|PHI |-60|THETA |87|PSI |-72|Battery | 560|
Time |1293033|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |586|SPY |-414|SAZ |14396|PHI |-106|THETA |107|PSI |-89|Battery | 581|
Time |1393038|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |-1|SR |-17|SAX |606|SPY |-398|SAZ |14346|PHI |-147|THETA |128|PSI |-107|Battery | 581|
Time |1493062|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |556|SPY |-420|SAZ |14376|PHI |-187|THETA |147|PSI |-124|Battery | 560|
Time |1593069|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |574|SPY |-410|SAZ |14366|PHI |-224|THETA |164|PSI |-142|Battery | 574|
Time |1693077|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |566|SPY |-408|SAZ |14386|PHI |-258|THETA |180|PSI |-160|Battery | 581|
Time |1794226|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |580|SPY |-408|SAZ |14400|PHI |-290|THETA |196|PSI |-177|Battery | 560|
Time |1894252|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-3|SR |-17|SAX |570|SPY |-406|SAZ |14366|PHI |-321|THETA |211|PSI |-195|Battery | 574|
Time |1994352|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |-1|SR |-17|SAX |582|SPY |-408|SAZ |14394|PHI |-348|THETA |225|PSI |-213|Battery | 581|
Time |2094909|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |600|SPY |-418|SAZ |14370|PHI |-375|THETA |239|PSI |-231|Battery | 560|
Time |2195319|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |562|SPY |-402|SAZ |14412|PHI |-399|THETA |252|PSI |-249|Battery | 574|
