using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
Time |893207|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-16|SAX |258|SPY |-438|SAZ |14380|PHI |154|THETA |-16|PSI |-1|Battery | 595|
Time |993221|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |1|SAX |60|SPY |-336|SAZ |14372|PHI |44|THETA |5|PSI |-34|Battery | 581|
Time |1093234|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-27|SQ |-1|SR |13|SAX |292|SPY |-498|SAZ |14412|PHI |-8|THETA |15|PSI |50|Battery | 581|
Time |1193242|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |222|SPY |-432|SAZ |14372|PHI |-55|THETA |25|PSI |37|Battery | 560|
Time |1293271|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |218|SPY |-440|SAZ |14378|PHI |-98|THETA |34|PSI |19|Battery | 581|
Time |1393288|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-3|SR |-17|SAX |236|SPY |-444|SAZ |14350|PHI |-138|THETA |43|PSI |2|Battery | 581|
Time |1493304|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |218|SPY |-428|SAZ |14386|PHI |-176|THETA |51|PSI |-15|Battery | 560|
Time |1593335|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-3|SR |-17|SAX |230|SPY |-446|SAZ |14348|PHI |-211|THETA |59|PSI |-32|Battery | 574|
Time |1693830|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-3|SR |-17|SAX |244|SPY |-436|SAZ |14376|PHI |-245|THETA |68|PSI |-50|Battery | 581|
Time |1794373|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |214|SPY |-436|SAZ |14382|PHI |-275|THETA |75|PSI |-68|Battery | 560|
Time |1895330|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |248|SPY |-426|SAZ |14380|PHI |-304|THETA |82|PSI |-86|Battery | 574|
