using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
Time |892751|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-179|SQ |169|SR |355|SAX |9042|SPY |-5960|SAZ |7472|PHI |124|THETA |-16|PSI |40|Battery | 595|
Time |992767|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |220|SQ |60|SR |-58|SAX |12998|SPY |-4114|SAZ |12886|PHI |-40|THETA |990|PSI |79|Battery | 581|
Time |1092775|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-232|SQ |305|SR |-157|SAX |10500|SPY |-6052|SAZ |10906|PHI |-462|THETA |953|PSI |104|Battery | 581|
Time |1192804|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |155|SQ |-702|SR |-529|SAX |13008|SPY |-5582|SAZ |10144|PHI |-800|THETA |1958|PSI |-141|Battery | 560|
Time |1292810|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |1004|SQ |1054|SR |-133|SAX |10584|SPY |-2856|SAZ |9120|PHI |-309|THETA |2156|PSI |-358|Battery | 581|
Time |1392822|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |1072|SQ |1698|SR |-335|SAX |9552|SPY |-1706|SAZ |9458|PHI |807|THETA |947|PSI |-577|Battery | 581|
Time |1492829|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |582|SQ |1170|SR |225|SAX |5270|SPY |-1332|SAZ |10340|PHI |1712|THETA |-345|PSI |-483|Battery | 560|
Time |1592836|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |592|SQ |1437|SR |192|SAX |4062|SPY |-1640|SAZ |12248|PHI |2199|THETA |-1298|PSI |-79|Battery | 574|
Time |1692848|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |213|SQ |837|SR |930|SAX |2768|SPY |-1200|SAZ |13850|PHI |2377|THETA |-1969|PSI |612|Battery | 581|
Time |1793056|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |354|SQ |1011|SR |524|SAX |3320|SPY |-968|SAZ |15102|PHI |2665|THETA |-2110|PSI |1396|Battery | 560|
Time |1894229|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |171|SQ |-183|SR |55|SAX |-2016|SPY |1700|SAZ |16312|PHI |2987|THETA |-2237|PSI |1941|Battery | 574|
