using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
Time |892879|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-16|SAX |224|SPY |-198|SAZ |14388|PHI |154|THETA |-16|PSI |-1|Battery | 595|
Time |992894|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-4|SR |-17|SAX |246|SPY |-200|SAZ |14412|PHI |67|THETA |9|PSI |-37|Battery | 581|
Time |1092907|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |0|SR |-17|SAX |236|SPY |-212|SAZ |14414|PHI |27|THETA |18|PSI |-54|Battery | 581|
Time |1192921|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-6|SR |-17|SAX |228|SPY |-198|SAZ |14400|PHI |-10|THETA |28|PSI |-72|Battery | 560|
Time |1292956|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-24|SQ |0|SR |-17|SAX |216|SPY |-150|SAZ |14378|PHI |-47|THETA |38|PSI |-90|Battery | 581|
Time |1392967|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-23|SQ |0|SR |-18|SAX |260|SPY |-208|SAZ |14392|PHI |-77|THETA |50|PSI |-107|Battery | 581|
Time |1492972|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-22|SQ |-5|SR |-18|SAX |232|SPY |-230|SAZ |14426|PHI |-105|THETA |56|PSI |-126|Battery | 560|
Time |1592993|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |1|SR |-17|SAX |250|SPY |-196|SAZ |14400|PHI |-134|THETA |67|PSI |-143|Battery | 574|
Time |1693487|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-22|SQ |2|SR |-17|SAX |254|SPY |-208|SAZ |14394|PHI |-160|THETA |71|PSI |-161|Battery | 581|
Time |1793979|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-5|SR |-17|SAX |254|SPY |-216|SAZ |14388|PHI |-183|THETA |78|PSI |-179|Battery | 560|
Time |1894442|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |214|SPY |-218|SAZ |14426|PHI |-208|THETA |84|PSI |-197|Battery | 581|
Time |1994906|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-27|SQ |-6|SR |-17|SAX |218|SPY |-208|SAZ |14400|PHI |-230|THETA |90|PSI |-215|Battery | 581|
Time |2095416|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-6|SR |-18|SAX |236|SPY |-212|SAZ |14422|PHI |-251|THETA |98|PSI |-234|Battery | 560|
Time |2196349|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-19|SAX |234|SPY |-200|SAZ |14380|PHI |-270|THETA |105|PSI |-254|Battery | 574|
Time |2296387|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-23|SQ |-1|SR |-19|SAX |212|SPY |-200|SAZ |14382|PHI |-286|THETA |110|PSI |-274|Battery | 581|
Time |2396874|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-18|SAX |224|SPY |-176|SAZ |14384|PHI |-303|THETA |115|PSI |-293|Battery | 560|
Time |2497370|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-23|SQ |-1|SR |-18|SAX |256|SPY |-230|SAZ |14390|PHI |-318|THETA |118|PSI |-312|Battery | 581|
Time |2597856|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-18|SAX |206|SPY |-188|SAZ |14400|PHI |-331|THETA |122|PSI |-331|Battery | 581|
Time |2698320|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-27|SQ |-1|SR |-17|SAX |240|SPY |-190|SAZ |14350|PHI |-346|THETA |125|PSI |-349|Battery | 595|
Time |2798844|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-21|SQ |2|SR |-19|SAX |206|SPY |-184|SAZ |14434|PHI |-361|THETA |129|PSI |-369|Battery | 574|
Time |2899338|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-24|SQ |-8|SR |-18|SAX |274|SPY |-212|SAZ |14388|PHI |-368|THETA |135|PSI |-389|Battery | 581|
Time |2999837|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-5|SR |-18|SAX |276|SPY |-198|SAZ |14390|PHI |-381|THETA |136|PSI |-408|Battery | 560|
Time |3100297|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-7|SR |-20|SAX |246|SPY |-208|SAZ |14404|PHI |-390|THETA |142|PSI |-428|Battery | 581|
